neighborhood,year,new,old,continued
,2000,0,1,0
,2001,0,3,0
,2002,41,6,0
,2003,26,42,34
,2004,52,64,44
,2005,38,36,91
,2006,47,39,114
,2007,95,44,136
,2008,113,50,191
,2009,68,40,276
,2010,53,76,303
,2011,72,39,318
,2012,57,49,347
,2013,56,50,365
,2014,50,75,359
,2015,33,75,353
,2016,14,210,279
,2017,0,193,0
,2018,0,207,0
Albany Park,1996,0,2,0
Albany Park,1997,0,1,0
Albany Park,1998,0,3,0
Albany Park,2000,0,2,0
Albany Park,2001,0,9,0
Albany Park,2002,255,74,0
Albany Park,2003,226,231,152
Albany Park,2004,231,247,242
Albany Park,2005,220,233,294
Albany Park,2006,178,216,357
Albany Park,2007,174,209,359
Albany Park,2008,151,52,487
Albany Park,2009,173,274,423
Albany Park,2010,156,67,528
Albany Park,2011,145,237,480
Albany Park,2012,180,68,564
Albany Park,2013,114,200,582
Albany Park,2014,136,98,611
Albany Park,2015,121,197,580
Albany Park,2016,40,248,479
Albany Park,2017,0,568,0
Albany Park,2018,0,85,0
Andersonville,2002,34,2,0
Andersonville,2003,27,32,28
Andersonville,2004,37,27,49
Andersonville,2005,27,40,66
Andersonville,2006,31,28,75
Andersonville,2007,45,56,86
Andersonville,2008,42,26,109
Andersonville,2009,53,66,93
Andersonville,2010,46,28,120
Andersonville,2011,48,73,99
Andersonville,2012,59,34,115
Andersonville,2013,39,60,121
Andersonville,2014,45,34,125
Andersonville,2015,37,43,123
Andersonville,2016,6,41,106
Andersonville,2017,0,132,0
Andersonville,2018,0,16,0
Archer Heights,2001,0,1,0
Archer Heights,2002,62,17,0
Archer Heights,2003,53,43,44
Archer Heights,2004,64,58,68
Archer Heights,2005,36,72,89
Archer Heights,2006,60,42,100
Archer Heights,2007,59,57,122
Archer Heights,2008,49,9,167
Archer Heights,2009,45,77,153
Archer Heights,2010,40,12,188
Archer Heights,2011,39,76,171
Archer Heights,2012,60,13,197
Archer Heights,2013,37,74,202
Archer Heights,2014,32,24,220
Archer Heights,2015,44,71,193
Archer Heights,2016,7,58,183
Archer Heights,2017,0,231,0
Archer Heights,2018,0,27,0
Armour Square,2002,24,6,0
Armour Square,2003,17,17,13
Armour Square,2004,29,21,22
Armour Square,2005,20,21,37
Armour Square,2006,20,21,42
Armour Square,2007,16,20,48
Armour Square,2008,17,15,54
Armour Square,2009,11,6,64
Armour Square,2010,22,34,56
Armour Square,2011,14,5,68
Armour Square,2012,17,33,54
Armour Square,2013,15,8,63
Armour Square,2014,28,36,66
Armour Square,2015,12,9,68
Armour Square,2016,3,56,38
Armour Square,2017,0,30,0
Armour Square,2018,0,20,0
Ashburn,1996,0,1,0
Ashburn,1998,0,3,0
Ashburn,2001,0,8,0
Ashburn,2002,103,46,0
Ashburn,2003,94,113,47
Ashburn,2004,122,111,82
Ashburn,2005,109,121,124
Ashburn,2006,105,105,166
Ashburn,2007,102,113,182
Ashburn,2008,77,13,257
Ashburn,2009,72,129,239
Ashburn,2010,60,33,274
Ashburn,2011,65,101,257
Ashburn,2012,104,37,290
Ashburn,2013,55,113,302
Ashburn,2014,53,40,318
Ashburn,2015,57,88,300
Ashburn,2016,19,118,250
Ashburn,2017,0,278,0
Ashburn,2018,0,56,0
Auburn Gresham,1996,0,1,0
Auburn Gresham,1997,0,3,0
Auburn Gresham,1998,0,1,0
Auburn Gresham,2000,0,2,0
Auburn Gresham,2001,0,5,0
Auburn Gresham,2002,186,62,0
Auburn Gresham,2003,146,146,94
Auburn Gresham,2004,137,139,155
Auburn Gresham,2005,141,137,189
Auburn Gresham,2006,128,136,212
Auburn Gresham,2007,119,114,240
Auburn Gresham,2008,90,116,270
Auburn Gresham,2009,100,28,331
Auburn Gresham,2010,87,198,281
Auburn Gresham,2011,78,25,339
Auburn Gresham,2012,109,139,309
Auburn Gresham,2013,60,58,360
Auburn Gresham,2014,69,116,315
Auburn Gresham,2015,65,56,329
Auburn Gresham,2016,26,363,116
Auburn Gresham,2017,0,114,0
Auburn Gresham,2018,0,36,0
Austin,1996,0,2,0
Austin,1997,0,3,0
Austin,1999,0,3,0
Austin,2000,0,3,0
Austin,2001,0,9,0
Austin,2002,367,81,0
Austin,2003,282,308,222
Austin,2004,343,366,316
Austin,2005,292,343,417
Austin,2006,265,259,488
Austin,2007,270,263,539
Austin,2008,218,18,787
Austin,2009,225,456,659
Austin,2010,173,51,829
Austin,2011,191,348,718
Austin,2012,249,83,828
Austin,2013,151,373,763
Austin,2014,151,111,809
Austin,2015,167,261,726
Austin,2016,45,227,683
Austin,2017,0,815,0
Austin,2018,0,106,0
