neighborhood,year,new,old,continued
,2000,0,1,0
,2001,0,3,0
,2002,41,6,0
,2003,26,42,29
,2004,52,64,312
,2005,38,36,330
,2006,47,39,331
,2007,95,44,345
,2008,113,50,371
,2009,68,40,430
,2010,53,76,422
,2011,72,39,437
,2012,57,49,456
,2013,56,50,462
,2014,50,75,450
,2015,33,75,449
,2016,14,210,319
,2017,0,193,0
,2018,0,207,0
Albany Park,1996,0,2,0
Albany Park,1997,0,1,0
Albany Park,1998,0,3,0
Albany Park,2000,0,2,0
Albany Park,2001,0,9,0
Albany Park,2002,255,74,0
Albany Park,2003,226,231,152
Albany Park,2004,231,247,780
Albany Park,2005,220,233,758
Albany Park,2006,178,216,757
Albany Park,2007,174,209,721
Albany Park,2008,151,52,833
Albany Park,2009,173,274,716
Albany Park,2010,156,67,809
Albany Park,2011,145,237,727
Albany Park,2012,180,68,804
Albany Park,2013,114,200,786
Albany Park,2014,136,98,809
Albany Park,2015,121,197,748
Albany Park,2016,40,248,616
Albany Park,2017,0,568,0
Albany Park,2018,0,85,0
Andersonville,2002,34,2,0
Andersonville,2003,27,32,28
Andersonville,2004,37,27,165
Andersonville,2005,27,40,162
Andersonville,2006,31,28,160
Andersonville,2007,45,56,154
Andersonville,2008,42,26,177
Andersonville,2009,53,66,153
Andersonville,2010,46,28,180
Andersonville,2011,48,73,152
Andersonville,2012,59,34,168
Andersonville,2013,39,60,165
Andersonville,2014,45,34,168
Andersonville,2015,37,43,163
Andersonville,2016,6,41,143
Andersonville,2017,0,132,0
Andersonville,2018,0,16,0
Archer Heights,2001,0,1,0
Archer Heights,2002,62,17,0
Archer Heights,2003,53,43,44
Archer Heights,2004,64,58,271
Archer Heights,2005,36,72,264
Archer Heights,2006,60,42,264
Archer Heights,2007,59,57,272
Archer Heights,2008,49,9,316
Archer Heights,2009,45,77,286
Archer Heights,2010,40,12,319
Archer Heights,2011,39,76,280
Archer Heights,2012,60,13,306
Archer Heights,2013,37,74,292
Archer Heights,2014,32,24,310
Archer Heights,2015,44,71,268
Archer Heights,2016,7,58,254
Archer Heights,2017,0,231,0
Archer Heights,2018,0,27,0
Armour Square,2002,24,6,0
Armour Square,2003,17,17,13
Armour Square,2004,29,21,92
Armour Square,2005,20,21,98
Armour Square,2006,20,21,99
Armour Square,2007,16,20,100
Armour Square,2008,17,15,101
Armour Square,2009,11,6,110
Armour Square,2010,22,34,94
Armour Square,2011,14,5,106
Armour Square,2012,17,33,87
Armour Square,2013,15,8,96
Armour Square,2014,28,36,91
Armour Square,2015,12,9,93
Armour Square,2016,3,56,47
Armour Square,2017,0,30,0
Armour Square,2018,0,20,0
Ashburn,1996,0,1,0
Ashburn,1998,0,3,0
Ashburn,2001,0,8,0
Ashburn,2002,103,46,0
Ashburn,2003,94,113,48
Ashburn,2004,122,111,376
Ashburn,2005,109,121,373
Ashburn,2006,105,105,383
Ashburn,2007,102,113,362
Ashburn,2008,77,13,431
Ashburn,2009,72,129,387
Ashburn,2010,60,33,418
Ashburn,2011,65,101,378
Ashburn,2012,104,37,405
Ashburn,2013,55,113,398
Ashburn,2014,53,40,411
Ashburn,2015,57,88,378
Ashburn,2016,19,118,317
Ashburn,2017,0,278,0
Ashburn,2018,0,56,0
Auburn Gresham,1996,0,1,0
Auburn Gresham,1997,0,3,0
Auburn Gresham,1998,0,1,0
Auburn Gresham,2000,0,2,0
Auburn Gresham,2001,0,5,0
Auburn Gresham,2002,186,62,0
Auburn Gresham,2003,146,146,94
Auburn Gresham,2004,137,139,459
Auburn Gresham,2005,141,137,458
Auburn Gresham,2006,128,136,456
Auburn Gresham,2007,119,114,457
Auburn Gresham,2008,90,116,461
Auburn Gresham,2009,100,28,519
Auburn Gresham,2010,87,198,422
Auburn Gresham,2011,78,25,479
Auburn Gresham,2012,109,139,421
Auburn Gresham,2013,60,58,471
Auburn Gresham,2014,69,116,412
Auburn Gresham,2015,65,56,424
Auburn Gresham,2016,26,363,126
Auburn Gresham,2017,0,114,0
Auburn Gresham,2018,0,36,0
Austin,1996,0,2,0
Austin,1997,0,3,0
Austin,1999,0,3,0
Austin,2000,0,3,0
Austin,2001,0,9,0
Austin,2002,367,81,0
Austin,2003,282,308,222
Austin,2004,343,366,1024
Austin,2005,292,343,1023
Austin,2006,265,259,1041
Austin,2007,270,263,1022
Austin,2008,218,18,1266
Austin,2009,225,456,1035
Austin,2010,173,51,1199
Austin,2011,191,348,1030
Austin,2012,249,83,1134
Austin,2013,151,373,1010
Austin,2014,151,111,1050
Austin,2015,167,261,939
Austin,2016,45,227,876
Austin,2017,0,815,0
